受理单位,分类,主题,受理时间,办结时间,办理状态
部门,"
投诉
",河北廊坊三河市燕郊交通中队咨询电话为空号,"
2020-02-02
","
2020-04-29
","已办结
"
部门,"
投诉
",河北廊坊大厂路径阳光城停车位收费是否合理？,"
2020-04-24
","
2020-04-29
","已办结
"
部门,"
投诉
",河北定州市东西里元社区健身广场夜晚无照明 形式主义,"
2020-04-23
","
2020-04-29
","已办结
"
部门,"
投诉
",唐山唐古路与钢厂道交叉口违停现场严重,"
2020-04-24
","
2020-04-28
","已办结
"
部门,"
投诉
",河北廊坊固安剑桥郡小区经常性停电 盼解决,"
2020-04-21
","
2020-04-28
","已办结
"
部门,"
投诉
",河北邯郸丛台区汉城华都小区东区工地噪音扰民,"
2020-04-23
","
2020-04-28
","已办结
"
部门,"
投诉
",河北唐山路北区钢城水岸违章建筑影响采光,"
2020-04-28
","
2020-04-28
","已办结
"
部门,"
投诉
",,"
2020-01-02
","
2020-04-28
","已办结
"
部门,"
投诉
",河北保定市茂业中心企业复工难 物业要求1人20平米,"
2020-03-23
","
2020-04-28
","已办结
"
部门,"
投诉
",河北保定市竞秀区建南社区卫生中心态度差,"
2020-03-26
","
2020-04-28
","已办结
"
部门,"
投诉
",河北保定竞秀区康惠街交警支队宿舍居民如何办健康证,"
2020-03-31
","
2020-04-28
","已办结
"
部门,"
投诉
",河北保定竞秀区对上海集中隔离的入境人员 是否还要集中隔离？,"
2020-04-10
","
2020-04-28
","已办结
"
部门,"
投诉
",河北保定乐凯南大街富昌园对面工地夜间施工噪音严重扰民,"
2020-04-16
","
2020-04-28
","已办结
"
部门,"
投诉
",河北定州迎泰新城A区门前路违停车辆多 出行不便,"
2020-04-27
","
2020-04-28
","已办结
"
部门,"
投诉
",河北承德围场六合店村厕改后没抽粪设施 多数成摆设,"
2020-04-28
","
2020-04-28
","已办结
"
易县卫生健康局,"
投诉
",河北保定易县来自辽宁省大连市人员 有何规定？,"
2020-04-24
","
2020-04-28
","已办结
"
部门,"
投诉
",河北保定涿州范阳路小公园广场舞噪音扰民 声音太大,"
2020-04-28
","
2020-04-28
","已办结
"
部门,"
投诉
",河北保定涿州吉祥胡同没有下水 望组织整修,"
2020-04-24
","
2020-04-28
","已办结
"
部门,"
投诉
",河北沧州献县凤栖园小区地势低洼 排水受阻污水上溢,"
2020-04-27
","
2020-04-28
","已办结
"
部门,"
投诉
",河北邢台县交警大队协警交通事故 迟迟不出责任认定书,"
2020-04-13
","
2020-04-28
","已办结
"
部门,"
投诉
",河北邢台新华北路喜士来酒店门前隔离栏应增出入口 方便坐车,"
2020-04-10
","
2020-04-28
","已办结
"
部门,"
投诉
",河北衡水大庆路榕花街红绿灯红灯时间长造成拥堵,"
2020-04-22
","
2020-04-28
","已办结
"
永年区住建局,"
投诉
",河北邯郸永年区勤政花园小区拖数年未交房,"
2020-04-27
","
2020-04-28
","已办结
"
沧州市运河区教育局,"
咨询
",河北沧州运河区世纪家园小学何时建成？,"
2020-04-22
","
2020-04-28
","已办结
"
部门,"
投诉
",河北唐山市路北区裕华道学院路至大里路几年没修通,"
2020-02-18
","
2020-04-28
","已办结
"
部门,"
投诉
",河北唐山路北容和景苑小区私搭乱建严重,"
2020-03-27
","
2020-04-28
","已办结
"
香河县市场监督管理局,"
投诉
",河北廊坊香河精工邦威家具不让验货不退款 市场局为何不受理？,"
2020-04-27
","
2020-04-28
","已办结
"
衡水市桃城区卫生健康局,"
咨询
",河北衡水桃城区居民要去北京入职 去哪里办健康证明？,"
2020-04-27
","
2020-04-28
","已办结
"
部门,"
投诉
",河北廊坊安次区海棠园物业私自打水井 窃取水资源,"
2020-03-19
","
2020-04-28
","已办结
"
石家庄市长安区住建局,"
投诉
",河北石家庄桃园丽景城何时交房,"
2020-04-24
","
2020-04-28
","已办结
"
石家庄市长安区住建局,"
投诉
",河北石家庄赫石府延期几年不交房,"
2020-04-24
","
2020-04-28
","已办结
"
石家庄市长安区住建局,"
投诉
",河北石家庄乐城贸易城依旧以无退款政策不退款,"
2020-04-24
","
2020-04-28
","已办结
"
三河市自然资源和规划局,"
投诉
",河北廊坊三河农村宅基地房本丢失 如何补办？,"
2020-04-27
","
2020-04-28
","已办结
"
部门,"
投诉
",唐山路北区海航叠山院三期南面巨型土堆无人管,"
2020-04-24
","
2020-04-28
","已办结
"
部门,"
投诉
",河北唐山煤医道与建设路交叉口路面大坑 影响出行,"
2020-04-24
","
2020-04-28
","已办结
"
衡水市卫生健康局,"
咨询
",河北衡水哈院拖欠临时工工资 何时发放？,"
2020-04-26
","
2020-04-28
","已办结
"
邢台市交通运输局,"
投诉
",河北邢台平乡县东位村出行路40年没修 泥泞不堪还要等多久？,"
2020-04-27
","
2020-04-28
","已办结
"
围场满族蒙古族自治县教育…,"
投诉
",,"
2020-04-23
","
2020-04-28
","已办结
"
